accident_index,accident_date,day_of_week,junction_control,junction_detail,accident_severity,light_conditions,local_authority,carriageway_hazards,number_of_casualties,number_of_vehicles,police_force,road_surface_conditions,road_type,speed_limit,urban_or_rural_area,weather_conditions,vehicle_type
BS0000001,2021-01-01 15:11:00,Thursday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,One way street,30,Urban,Fine no high winds,Car
BS0000002,2021-01-05 10:59:00,Monday,Give way or uncontrolled,Crossroads,Serious,Daylight,Kensington and Chelsea,,11,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Fine no high winds,Taxi/Private hire car
BS0000003,2021-01-04 14:19:00,Sunday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Taxi/Private hire car
BS0000004,2021-01-05 08:10:00,Monday,Auto traffic signal,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Frost or ice,Single carriageway,30,Urban,Other,Motorcycle over 500cc
BS0000005,2021-01-06 17:25:00,Tuesday,Auto traffic signal,Crossroads,Serious,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000006,2021-01-01 11:48:00,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,3,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000007,2021-01-08 13:58:00,Thursday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle over 500cc
BS0000008,2021-01-02 13:18:00,Friday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Dual carriageway,30,Urban,Fine no high winds,Car
BS0000009,2021-01-07 12:15:00,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,2,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000010,2021-01-10 09:52:00,Saturday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Other,Car
BS0000011,2021-01-07 00:09:00,Wednesday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000012,2021-01-16 17:49:00,Friday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000013,2021-01-12 14:00:00,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000014,2021-01-09 08:15:00,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000015,2021-01-17 12:15:00,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000016,2021-01-25 22:05:00,Sunday,Auto traffic signal,Crossroads,Serious,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000017,2021-01-26 17:30:00,Monday,Give way or uncontrolled,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000018,2021-01-26 17:05:00,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000019,2021-01-19 14:27:00,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Fine no high winds,Car
BS0000020,2021-01-27 00:28:00,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000021,2021-01-21 23:15:00,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000022,2021-01-22 23:15:00,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000023,2021-01-31 14:20:00,Saturday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000024,2021-02-03 13:25:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Snow,Single carriageway,30,Urban,Other,Car
BS0000025,2021-01-31 22:30:00,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000026,2021-01-31 13:50:00,Saturday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,2,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000027,2021-01-29 08:20:00,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000028,2021-01-31 12:03:00,Saturday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,20,Urban,Fine no high winds,Car
BS0000029,2021-01-29 15:50:00,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000030,2021-01-31 01:01:00,Saturday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Fine no high winds,Car
BS0000031,2021-01-28 07:45:00,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,One way street,30,Urban,Raining no high winds,Car
BS0000032,2021-01-27 12:30:00,Tuesday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000033,2021-01-31 10:08:00,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,Urban,Fine no high winds,Car
BS0000034,2021-01-22 16:19:00,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Fine no high winds,Car
BS0000035,2021-01-29 20:35:00,Thursday,Auto traffic signal,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000036,2021-01-20 13:27:00,Tuesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000037,2021-01-17 11:00:00,Saturday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000038,2021-01-15 11:30:00,Thursday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000039,2021-02-09 09:15:00,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000040,2021-01-28 11:15:00,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000041,2021-01-23 11:15:00,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,2,1,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Fine no high winds,Car
BS0000042,2021-01-26 14:40:00,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000043,2021-02-03 09:58:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,One way street,30,Urban,Fine no high winds,Car
BS0000044,2021-02-10 08:10:00,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,One way street,30,Urban,Fine no high winds,Car
BS0000045,2021-01-30 08:28:00,Friday,Auto traffic signal,Roundabout,Slight,Daylight,Hammersmith and Fulham,,1,2,Metropolitan Police,Dry,Dual carriageway,30,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t
BS0000046,2021-01-28 19:53:00,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Raining no high winds,Car
BS0000047,2021-01-29 14:05:00,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000048,2021-02-10 23:55:00,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Serious,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000049,2021-02-10 08:35:00,Tuesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Fine no high winds,Car
BS0000050,2021-02-12 07:53:00,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000051,2021-02-16 12:00:00,Monday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000052,2021-02-16 08:25:00,Monday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,Urban,Fine no high winds,Car
BS0000053,2021-02-14 21:06:00,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Fine no high winds,Car
BS0000054,2021-02-18 07:09:00,Wednesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Fine no high winds,Car
BS0000055,2021-02-21 20:42:00,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,2,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000056,2021-02-15 00:35:00,Sunday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000057,2021-02-21 10:15:00,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,One way street,30,Urban,Fine no high winds,Car
BS0000058,2021-02-12 16:50:00,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,Urban,Snowing no high winds,Car
BS0000059,2021-02-12 12:20:00,Thursday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
BS0000060,2021-02-20 23:15:00,Friday,Give way or uncontrolled,Roundabout,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Roundabout,30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000061,2021-02-27 15:40:00,Friday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,Urban,Fine no high winds,Car
